id,name,address,latitude,longitude,operator,hours_json,amenities,avg_rating,visit_count
1,Battery Park Zone 1,Park | POINT (-74.0159 40.70441),40.704410,-74.015900,NYC Parks,"{""mon"": ""Closed"", ""tue"": ""Closed"", ""wed"": ""Closed"", ""thu"": ""Closed"", ""fri"": ""Closed"", ""sat"": ""Closed"", ""sun"": ""Closed""}","{""Status: Not Operational"",""Changing Stations""}",0,0
2,Carl Schurz Main Lawn,Park | POINT (-73.945 40.77358),40.773580,-73.945000,NYC Parks,"{""mon"": ""Closed"", ""tue"": ""Closed"", ""wed"": ""Closed"", ""thu"": ""Closed"", ""fri"": ""Closed"", ""sat"": ""Closed"", ""sun"": ""Closed""}","{""Partially Accessible"",""Multi-Stall W/M Restrooms"",""Status: Not Operational"",""Changing Stations""}",0,0
3,Tappen Park,Park | POINT (-74.0778 40.62661),40.626610,-74.077800,NYC Parks,"{""mon"": ""Closed"", ""tue"": ""Closed"", ""wed"": ""Closed"", ""thu"": ""Closed"", ""fri"": ""Closed"", ""sat"": ""Closed"", ""sun"": ""Closed""}","{""Status: Not Operational""}",0,0
4,Refinery Building,Park | POINT (-73.967306 40.714424),40.714424,-73.967306,Domino Park,"{""mon"": ""06:00-23:00"", ""tue"": ""06:00-23:00"", ""wed"": ""06:00-23:00"", ""thu"": ""06:00-23:00"", ""fri"": ""06:00-23:00"", ""sat"": ""06:00-23:00"", ""sun"": ""06:00-23:00""}",{},0,0
5,"Gravesend Library, BPL",Library | POINT (-73.97181 40.590553),40.590553,-73.971810,BPL,"{""mon"": ""Closed"", ""tue"": ""Closed"", ""wed"": ""Closed"", ""thu"": ""Closed"", ""fri"": ""Closed"", ""sat"": ""Closed"", ""sun"": ""Closed""}","{""Fully Accessible"",""Single-Stall All Gender Restroom(s)"",""Status: Closed for Construction"",""Changing Stations""}",0,0
6,"Aguilar Library, NYPL",Library | POINT (-73.94346 40.794223),40.794223,-73.943460,NYPL,"{""mon"": ""Closed"", ""tue"": ""Closed"", ""wed"": ""Closed"", ""thu"": ""Closed"", ""fri"": ""Closed"", ""sat"": ""Closed"", ""sun"": ""Closed""}","{""Status: Closed for Construction""}",0,0
7,Maspeth Park,Park | POINT (-73.9254 40.7309),40.730900,-73.925400,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Changing Stations""}",0,0
8,Crotona Malls Zone 1,Park | POINT (-73.8855 40.84284),40.842840,-73.885500,NYC Parks,"{""mon"": ""Closed"", ""tue"": ""Closed"", ""wed"": ""Closed"", ""thu"": ""Closed"", ""fri"": ""Closed"", ""sat"": ""Closed"", ""sun"": ""Closed""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Status: Not Operational""}",0,0
9,"Fort Hamilton Library, BPL",Library | POINT (-74.031371 40.616381),40.616381,-74.031371,BPL,"{""mon"": ""10:00-18:00"", ""tue"": ""13:00-20:00"", ""wed"": ""10:00-18:00"", ""thu"": ""10:00-20:00"", ""fri"": ""10:00-18:00"", ""sat"": ""10:00-17:00"", ""sun"": ""Closed""}","{""Fully Accessible"",""Single-Stall All Gender Restroom(s)"",""Changing Stations""}",0,0
10,Rienzi Playground,Park | POINT (-73.8588 40.88764),40.887640,-73.858800,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms""}",0,0
11,Lopez Playground,Park | POINT (-74.085 40.61127),40.611270,-74.085000,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms""}",0,0
12,"Andrew Heiskell Braille and Talking Book Library, NYPL",Library | POINT (-73.993358 40.740474),40.740474,-73.993358,NYPL,"{""mon"": ""10:00-17:00"", ""tue"": ""12:00-19:00"", ""wed"": ""10:00-17:00"", ""thu"": ""12:00-19:00"", ""fri"": ""10:00-17:00"", ""sat"": ""10:00-17:00"", ""sun"": ""Closed""}","{""Fully Accessible"",""Both Single-Stall All Gender and Multi-Stall W/M"",""Changing Table in Children's room""}",0,0
13,Old Town Playground,Park | POINT (-74.0815 40.59549),40.595490,-74.081500,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
14,575 Fifth Avenue POPS,Privately Owned Public Space | POINT (-73.978243 40.756276),40.756276,-73.978243,575 Fifth Associates,"{""mon"": ""Closed"", ""tue"": """", ""wed"": """", ""thu"": """", ""fri"": """", ""sat"": """", ""sun"": ""07:00-00:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
15,Fort Greene Park Zone 3,Park | POINT (-73.9747 40.69223),40.692230,-73.974700,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Changing Stations""}",0,0
16,Starlight Park Zone 1,Park | POINT (-73.882888 40.833733),40.833733,-73.882888,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}",{},0,0
